,Ticker,Price,MA,Position
0,ALE.WA,23.0,28.3525,below
1,ACP.WA,76.8,77.287,below
2,CCC.WA,47.59,54.3242,below
3,CDR.WA,120.68,154.046,below
4,CPS.WA,22.28,26.5776,below
5,DNP.WA,301.7,308.678,below
6,JSW.WA,68.0,69.7636,below
7,KGH.WA,119.2,161.167,below
8,LTS.WA,68.44,63.176,above
9,LPP.WA,9850.0,10037.1,below
10,MBK.WA,273.0,329.284,below
11,OPL.WA,6.322,7.45258,below
12,PEO.WA,88.46,104.4958,below
13,PCO.WA,40.76,43.2689,below
14,PGE.WA,9.482,9.3566,above
15,PGN.WA,5.89,6.46904,below
16,PKN.WA,73.5,76.1988,below
17,PKO.WA,30.45,36.58,below
18,PZU.WA,29.94,32.302,below
19,SPL.WA,244.0,281.962,below
